key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-manager-01,true,"UserIdentity{name: 'Mike', surname: 'ընդունուած', email: 'mike@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Juan', surname: 'इलाका', email: 'juan@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Jacobo', surname: 'সালে যাত্রাবাড়িতে', email: 'jacobo@acme.com'}",manager3,manager3
user-account-administrator-01,true,"UserIdentity{name: 'Juana', surname: 'თხა 之乎路可良', email: 'juana@acme.com'}",administrator1,administrator1
user-account-administrator-02,true,"UserIdentity{name: 'Francisco', surname: 'García ᏥᏲᏎᎭ', email: 'francisco@acme.com'}",administrator2,administrator2
user-account-customer-01,true,"UserIdentity{name: 'Emilio', surname: 'Customer1', email: 'customer1@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Pepe', surname: 'โลเร็ม อิปซัม', email: 'customer2@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Javier', surname: '洛伦·伊普森', email: 'customer3@acme.com'}",customer3,customer3

user-account-member-01,true,"UserIdentity{name: 'Agustín', surname: '之 თ乎可良 Æløzå', email: 'agustin@acme.com'}",member1,member1
user-account-member-02,true,"UserIdentity{name: 'Pitbull', surname: 'Worldwide', email: 'pitbull@worldwide.com'}",member2,member2
user-account-member-03,true,"UserIdentity{name: 'لوريم إيبسوم', surname: '之 თ乎可良 Æløzå', email: 'agustin@acme.com'}",member3,member3
user-account-member-04,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: 'Worldwide', email: 'pitbull@worldwide.com'}",member4,member4
user-account-member-05,true,"UserIdentity{name: 'Azucena', surname: '<script>alert(‘Hacked!’);</script>', email: 'agustin@acme.com'}",member5,member5
